term,definition,category
aback,surprised or startled,General use
abandon,to leave something or someone permanently or completely,General use
abandoning,the act of leaving something or someone permanently,General use
abandons,leaves something or someone permanently (third-person singular),General use
abbey,a monastery or convent governed by an abbot or abbess,Locations and environments
abbeys,plural of abbey,Locations and environments
abbots,the head of an abbey; a senior religious figure,Victorian slang and social context
abduction,the act of seizing and carrying away a person by force,Crime scene objects
abductor,a person who carries off another by force,Crime scene objects
aberdeen,a city in northeast Scotland; may refer to people or goods from that region,Locations and environments
abergavenny,a town in Wales; a geographical reference in British context,Locations and environments
abermarle,variant spelling of "Albermarle"; a British peerage or place name,Locations and environments
abernetty,likely a misspelling or rare variant; possibly intended as "Abergavenny",General use
aberration,a departure from what is normal or expected,General use
abetted,encouraged or assisted in wrongdoing (past tense),Detection and investigation terms
abetting,encouraging or assisting in a crime (present participle),Detection and investigation terms
abhor,to detest intensely,General use
abhorrent,inspiring disgust or loathing,General use
abhors,resents or detests greatly (third-person singular),General use
abide,to endure or tolerate; to accept,General use
abilities,power or skill to do something,General use
ability,competence in an activity or occupation,General use
abjure,to renounce a belief or claim solemnly,General use
able-bodied,physically strong and healthy (often hyphenated: able-bodied),General use
abnormal,deviating from the norm,General use
abnormally,in a way that is not typical or usual,General use
aboard,on or into a  vehicle,General use
abode,a place of residence; a dwelling,Locations and environments
abominable,deserving moral condemnation; utterly detestable,General use
abomination,something that is abhorrent or extremely unpleasant,General use
aborigines,populations of colonies,Victorian slang and social context
abortive,unsuccessful or incomplete,General use
abound,to exist in large numbers or quantities,General use
aboutrumours,likely a typo or concatenation of "about rumours",General use
aboveboard,in a legitimate and honest manner,General use
abovethe,likely a typo or fragment ("above the"),General use
abrasion,a superficial wound caused by scraping,Injuries and body parts
abreast,side by side; up to date with information,General use
abroad,in or to a foreign country,Locations and environments
abrupt,sudden and unexpected,General use
abruptly,in a sudden and hasty manner,General use
abruptness,the quality of being sudden or brusque,General use
absconding,leaving quickly and secretly to avoid detection or arrest,Detection and investigation terms
absence,the state of being away,General use
absentee,a person who is absent,Victorian slang and social context
absentees,plural of absentee,Victorian slang and social context
absentminded,lacking attention or focus,General use
absolved,declared free from blame or guilt,General use
absorb,to take in or assimilate,General use
absorbing,engrossing; holding one's attention completely,General use
abstract,existing in thought or as an idea but not having a physical presence,General use
abstracted,distant in thought; preoccupied,General use
abstraction,a general idea or concept,General use
abstruse,difficult to understand; obscure,General use
absurdity,a state of being illogical or ridiculous,General use
absurdly,in a ridiculous or illogical manner,General use
abundant,existing in large quantities,General use
abuse,misuse or ill-treatment,General use
abused,ill-treated or misused (past tense),General use
abusing,engaging in misuse or cruelty (present participle),General use
abusive,insulting or threatening in manner,General use
abutted,adjoined or shared a common boundary (past tense),General use
abyss,a deep or seemingly bottomless chasm; metaphorically a profound danger or evil,General use
academic,relating to education or scholarly study,General use
acceding,agreeing or yielding (often to a request or demand),General use
accent,a distinctive way of speaking associated with a region or social group,Victorian slang and social context
accentuated,emphasized or made more noticeable,General use
acceptable,able to be received or approved,General use
acceptance,the action of accepting something,General use
accepted,received or approved (past tense),General use
accepting,being willing to receive or agree,General use
access,means of approaching or entering a place,General use
accessible,easily approached or entered,General use
accessories,objects that supplement or complete something; in law accomplices to a crime,Victorian slang and social context
accessory,an object that adds to or complements something; also a person aiding in a crime,Crime scene objects
accidental,happening by chance not planned,General use
accidentally,by chance; not intentionally,General use
accidents,unfortunate events that happen unexpectedly,General use
accommodate,to provide space or lodging for,General use
accommodating,willing to help or oblige,General use
accompanied,went with or was in the company of someone,General use
accompaniment,something that accompanies; music or a person,General use
accompaniments,plural of accompaniment,General use
accompany,to go with someone or something,General use
accompanying,going along with,General use
accompli,likely a typo or fragment (possibly "accompli" from French "le parfait accompli"?),General use
accomplices,people who assist in a crime,Crime scene objects
accomplice,one who helps another commit a crime,Crime scene objects
there,used to indicate a place or fact,General use
accomplish,to succeed in doing or achieving something,General use
accomplished,highly skilled; successfully completed,General use
accomplishment,an achievement or thing done successfully,General use
accomplishments,plural of accomplishment,General use
accord,agreement or harmony,General use
accordance,in conformity with,General use
accordingly,in a way that is appropriate to the situation,General use
term,definition,category
accosted,approached aggressively or confrontationally,Detection and investigation terms
accountant,a person who manages financial records,Victorian slang and social context
accounted,regarded as; explained (past tense),General use
accredited,officially recognized or authorized,General use
accumulated,gathered together over time,General use
accumulating,amassing or gathering (present participle),General use
accumulation,the process or result of accumulating,General use
accuracy,the quality of being correct or precise,Detection and investigation terms
accurate,free from error; precise,Detection and investigation terms
accurately,with precision or correctness,Detection and investigation terms
accursed,doomed or cursed; hated,General use
accusation,a charge or claim that someone has done something illegal or wrong,Crime scene objects
accuse,to charge with a fault or offense,Crime scene objects
accuser,a person who makes an accusation,Crime scene objects
acetones,volatile organic compound; may relate to solvents or chemical use,Substances and poisons
ached,painfully felt (past tense),Injuries and body parts
achieved,successfully completed or attained,General use
achievements,results of effort or skill,General use
acid,a corrosive substance with low pH; used in chemistry or crime,Substances and poisons
acidfaced,having a sour or bitter expression; possibly implying chemical exposure or temper,Substances and poisons
acids,plural of acid; often referenced in Holmes’s chemical experiments,Substances and poisons
acidstained,marked or discolored by acid,Physical evidence
acknowledged,admitted or recognized (past tense),General use
acknowledges,recognizes or admits (third-person singular),General use
acknowledging,recognizing or admitting (present participle),General use
acquaintances,people one knows casually,Victorian slang and social context
acquainted,familiar with; personally known,Victorian slang and social context
acquiesce,to accept something passively or without protest,General use
acquiesced,accepted reluctantly (past tense),General use
acquiescence,quiet acceptance without protest,General use
acquire,to gain or obtain,General use
acquired,gained possession of (past tense),General use
acquirement,an acquired skill or quality,General use
acquiring,gaining possession of (present participle),General use
acquitted,found not guilty in a court of law,General use
acres,unit of land area; often used in estate descriptions,Locations and environments
acrid,sharp and harsh in taste or smell; often used to describe fumes,Substances and poisons
acrobat,a performer skilled in gymnastics or tumbling,Victorian slang and social context
actionable,capable of being the basis for a legal suit,Crime scene objects
actively,in a way that involves action or effort,General use
activity,engagement in action or movement,General use
actor,a performer in plays or films,Victorian slang and social context
actors,plural of actor,Victorian slang and social context
actress,a female actor,Victorian slang and social context
acts,plural of act; deeds or performances,General use
acumen,keen insight or judgment,Detection and investigation terms
acute,severe or intense ; highly perceptive,Detection and investigation terms
acutely,in a sharply intense or perceptive manner,Detection and investigation terms
acuteness,quality of being acute or sharp,Detection and investigation terms
adapt,to adjust to new conditions,General use
adaptable,capable of adjusting to new situations,General use
adapted,modified or adjusted (past tense),General use
adder,a venomous snake; also an old term for a calculator,Injuries and body parts
addicted,physically or mentally dependent on a substance,Substances and poisons
addiction,compulsive dependence on a substance or behavior,Substances and poisons
adding,combining or joining (present participle),General use
addition,the process of adding; something added,General use
additional,extra; more than previously,General use
additions,plural of addition,General use
addresses,plural of address; also formal speeches or locations,General use
addressing,dealing with or speaking to (present participle),General use
adds,third-person singular of "add",General use
southampton, place name,Locations and environments
adequate,sufficient for a purpose,General use
adhere,to stick or remain attached,General use
adhered,stuck or remained loyal (past tense),General use
adherents,followers or supporters,General use
adhering,sticking or remaining faithful (present participle),General use
adhesive,a substance used for sticking things together,Physical evidence
adieu,an old-fashioned farewell (French origin),Victorian slang and social context
adjective,a word that describes a noun,General use
adjectives,plural of adjective,General use
adjoining,lying next to or attached to,General use
adjusted,altered to fit (past tense),General use
administered,managed or dispensed,General use
administration,the process of managing affairs,General use
administrator,a person who manages something,General use
admirablebut,concatenation ("admirable but"),General use
admirably,in an admirable manner,General use
admiral,a senior naval officer,Victorian slang and social context
admiralty,the department responsible for naval affairs,Victorian slang and social context
admiraltyit,fragment ("admiralty it"?),General use
admire,to regard with respect or pleasure,General use
admired,regarded with admiration (past tense),General use
admirer,one who admires,General use
admirers,plural of admirer,General use
admiring,feeling or showing admiration,General use
admission,the act of entering or being allowed in,General use
admits,allows entry or acknowledges (third-person singular),General use
admittance,permission to enter,General use
admitting,allowing entry or acknowledging (present participle),General use
admonishing,warning or reprimanding (present participle),General use
ado,unnecessary fuss or trouble,General use
adolph,a male given name; Germanic origin,Victorian slang and social context
adopt,to take up or begin to use,General use
adorn,to decorate or embellish,General use
adorned,decorated (past tense),General use
adrift,at sea without control; metaphorically, lost or unattached,General use
adroit,clever or skillful in handling situations,Detection and investigation terms
adult,a grown person,General use
adults,plural of adult,General use
advances,progress or financial payments; also romantic overtures,General use
advancing,moving forward (present participle),General use
advantages,benefits or favorable conditions,General use
advent,the arrival of a notable person or event,General use
adventurer,a person who seeks adventure,Victorian slang and social context
adventurers,plural of adventurer,Victorian slang and social context
adventuress,a female adventurer (often with romantic or dubious connotations),Victorian slang and social context
adventurous,full of risk or excitement,General use
advertise,to announce publicly,Victorian slang and social context
advertised,publicly announced (past tense),Victorian slang and social context
advertisement,CHECK,General use
advertisements,plural of advertisement,Victorian slang and social context
advertising,the activity of promoting products,Victorian slang and social context
advices,archaic plural of "advice"; sometimes used in legal or formal contexts,General use
advisability,the quality of being advisable,General use
advisable,wise or prudent to do,General use
advised,cautioned or recommended (past tense),General use
adviser,a person who gives advice,General use
advises,gives advice (third-person singular),General use
advising,giving counsel (present participle),General use
advocate,a person who supports or defends a cause,General use
advocated,supported publicly (past tense),General use
advocating,supporting or arguing for (present participle),General use
ae,archaic abbreviation for "aera" or poetic "age"; sometimes used in old texts,General use
aeroplanes,early term for airplanes; postdates most Holmes stories (late 19th c.),General use
afar,at a distance,General use
afeared,dialect form of "afraid",Victorian slang and social context
affable,friendly and easy to talk to,General use
affably,in a friendly manner,General use
affaire,misspelling or French form of "affair",Victorian slang and social context
affect,to influence or pretend,General use
affectation,artificial behavior meant to impress,General use
affecting,emotionally moving,General use
affection,a gentle feeling of fondness,General use
affectionate,showing warmth or fondness,General use
affectionately,in a loving or tender way,General use
affections,emotional attachments,General use
affects,influences or simulates (third-person singular),General use
affirmative,positive or confirming,General use
afflicted,suffering from (past tense),Injuries and body parts
affliction,a cause of pain or distress,Injuries and body parts
affluent,wealthy or rich,Victorian slang and social context
afforded,provided or made available (past tense),General use
afghan,a rug or a native of Afghanistan; also a breed of dog,Clothing and personal items
afghans,plural of afghan,Clothing and personal items
afoot,in progress; also literally "on foot",General use
afresh,again; in a new way,General use
africaa,likely typo of "Africa",Locations and environments
african,a person from Africa; also adjective,Victorian slang and social context
aft,at the back of a ship,Locations and environments
afterhold,possibly "after hold" (nautical term),Locations and environments
afteri,fragment ("after I"?),General use
aftertaste,a lingering taste after eating or drinking,Substances and poisons
afterthoughts,later ideas or reflections,General use
againhere,fragment ("again here"?),General use
againjust,fragment ("again just"?),General use
againof,fragment ("again of"?),General use
againyou,fragment ("again you"?),General use
agape,wide open mouth; also Christian love,General use
agar,a jelly-like substance used in labs; microbiological medium,Physical evidence
agates,semi-precious stones; sometimes used in jewelry or as curios,Clothing and personal items
ageblackened,describing something old and darkened with age,Physical evidence
aged,advanced in years; also treated to appear old,General use
agencies,plural of agency,Detection and investigation terms
ages,plural of age,General use
aggravated,exacerbated or annoyed (past tense),General use
aggregate,combined total; mass,General use
aggressive,hostile or forceful in manner,General use
aggressively,in a hostile or forceful way,General use
aggrieved,feeling wronged or injured,General use
aghast,shocked or horrified,General use
agile,able to move quickly and easily,General use
agility,quickness and lightness of movement,General use
agin,dialect form of "again",Victorian slang and social context
agonies,extreme pains or sufferings,Injuries and body parts
agonised,tortured or suffered mentally (UK spelling),Injuries and body parts
agreeable,pleasant or acceptable,General use
agreement,a mutual arrangement or harmony,General use
agrees,is in accord (third-person singular),General use
agricultural,relating to farming,General use
agriculture,the science or practice of farming,General use
ague,an old term for fever especially malarial,Injuries and body parts
aha,exclamation of discovery or surprise,General use
ahalf,likely "a half",General use
aided,helped (past tense),General use
aiding,helping (present participle),General use
ailed,was ill (past tense),Injuries and body parts
ailing,sick or unwell,Injuries and body parts
ails,causes illness (third-person singular),Injuries and body parts
aim,purpose or intention; also to point a weapon,Detection and investigation terms
aimed,directed toward a target,Weapons and projectiles
aimless,without purpose or direction,General use
aims,plural of aim,General use
airgun,a gun that fires projectiles using compressed air,Weapons and projectiles
airguns,plural of airgun,Weapons and projectiles
airhis,fragment ("air his"?),General use
airily,in a light or carefree manner,General use
airs,pretentious behavior; also atmospheric currents,General use
