term,suggested_category,similarity_score,is_seed,oov
youths,Locations and environments,0.3934,False,False
youth,Locations and environments,0.3934,False,False
york,Clothing and personal items,0.3628,False,False
yonder,Detection and investigation terms,0.1738,False,False
yesterday_evening,General use,0.0,False,True
yesterday_afternoon,General use,0.0,False,True
yesterday,Crime scene objects,0.6409,False,False
yellow,Physical evidence,0.4869,False,False
years,Clothing and personal items,0.3938,False,False
year,Physical evidence,0.2712,False,False
yards,Detection and investigation terms,0.1911,False,False
yard,Clothing and personal items,0.3926,False,False
writing,Crime scene objects,0.5123,False,False
writ,Detection and investigation terms,0.4486,False,False
wrinkles,Physical evidence,0.3957,False,False
wound_bone,General use,0.0,False,True
wound,Injuries and body parts,0.5078,False,False
world,Detection and investigation terms,0.3444,False,False
work,Clothing and personal items,0.4169,False,False
words_today,General use,0.0,False,True
words_apology,General use,0.0,False,True
words,Crime scene objects,0.3973,False,False
word_writing,General use,0.0,False,True
word_word,General use,0.0,False,True
word_voice,General use,0.0,False,True
word_truth,General use,0.0,False,True
word_garden,General use,0.0,False,True
word_complaint,General use,0.0,False,True
word,Crime scene objects,0.439,False,False
woolwich,Locations and environments,0.1186,False,False
wood_floor,General use,0.0,False,True
wood,Clothing and personal items,0.2223,False,False
wonder,Clothing and personal items,0.3679,False,False
women,Injuries and body parts,0.5562,False,False
woman_face,General use,0.0,False,True
woman,Clothing and personal items,0.2542,False,False
wives,Clothing and personal items,0.2077,False,False
wits,Locations and environments,0.3177,False,False
witnesses,Detection and investigation terms,0.5057,False,False
witness,Detection and investigation terms,0.5493,True,False
wish,Clothing and personal items,0.3679,False,False
wire,Detection and investigation terms,0.2531,False,False
winter,Clothing and personal items,0.4701,False,False
windows_side,General use,0.0,False,True
windows_part,General use,0.0,False,True
windows_head,General use,0.0,False,True
windows_glimpse,General use,0.0,False,True
windows_floor,General use,0.0,False,True
windows_doors,General use,0.0,False,True
windows,Clothing and personal items,0.4222,False,False
window_lawn,General use,0.0,False,True
window_garden,General use,0.0,False,True
window_face,General use,0.0,False,True
window_chimney,General use,0.0,False,True
window_cab,General use,0.0,False,True
window,Weapons and projectiles,0.348,False,False
windings,Physical evidence,0.4522,False,False
wind,Detection and investigation terms,0.3571,False,False
winchester,Clothing and personal items,0.3628,False,False
wilson,Clothing and personal items,0.3978,False,False
william,Clothing and personal items,0.3978,False,False
will,Detection and investigation terms,0.4054,False,False
wiggins,Substances and poisons,0.155,False,False
wife,Clothing and personal items,0.4223,False,False
wicker,Crime scene objects,0.5128,False,False
whole,Clothing and personal items,0.4523,False,False
whiter,Physical evidence,0.4126,False,False
white,Clothing and personal items,0.3484,False,False
whip_hand,General use,0.0,False,True
whereabouts,Locations and environments,0.6337,False,False
wheels,Physical evidence,0.4128,False,False
wharf,Substances and poisons,0.2204,False,False
west,Clothing and personal items,0.4232,False,False
wells,Physical evidence,0.4768,False,False
well,Physical evidence,0.4583,False,False
weight_heart,General use,0.0,False,True
weight,Physical evidence,0.4128,False,False
weeks,Clothing and personal items,0.1759,False,False
week_morning,General use,0.0,False,True
week,Crime scene objects,0.2761,False,False
wedding,Substances and poisons,0.075,False,False
web,Clothing and personal items,0.2282,False,False
weather,Substances and poisons,0.2961,False,False
weapons,Weapons and projectiles,0.8046,False,False
weapon_hands,General use,0.0,False,True
weapon,Weapons and projectiles,0.8046,False,False
ways,Physical evidence,0.5694,False,False
way_means,General use,0.0,False,True
way_letter,General use,0.0,False,True
way_instructions,General use,0.0,False,True
way_inspector,General use,0.0,False,True
way_incident,General use,0.0,False,True
way_impression,General use,0.0,False,True
way_heart,General use,0.0,False,True
way_danger,General use,0.0,False,True
way_captain,General use,0.0,False,True
way,Physical evidence,0.4912,False,False
wave,Physical evidence,0.4522,False,False
waterloo,Locations and environments,0.0986,False,False
water,Substances and poisons,0.3683,False,False
watch,Crime scene objects,0.2307,False,False
waste_paper,General use,0.0,False,True
waste_energy,General use,0.0,False,True
waste,Substances and poisons,0.6345,False,False
warren,Clothing and personal items,0.3978,False,False
warrant,Detection and investigation terms,0.4707,False,False
warning,Detection and investigation terms,0.415,False,False
ward,Substances and poisons,0.4085,False,False
war,Clothing and personal items,0.3467,False,False
want,Clothing and personal items,0.3679,False,False
wanderings,Physical evidence,0.2657,False,False
walls,Physical evidence,0.4146,False,False
wall_hat,General use,0.0,False,True
wall,Weapons and projectiles,0.348,False,False
walk,Clothing and personal items,0.385,False,False
wait,Clothing and personal items,0.3679,False,False
von,Locations and environments,0.0381,False,False
volume,Physical evidence,0.5313,False,False
voices,Locations and environments,0.2722,False,False
voice,Locations and environments,0.2722,False,False
visitors,Physical evidence,0.3027,False,False
visitor,Physical evidence,0.3027,False,False
visit,Physical evidence,0.3027,False,False
virtue,Detection and investigation terms,0.5802,False,False
violence,Locations and environments,0.3934,False,False
villain,Locations and environments,0.3243,False,False
village_inn,General use,0.0,False,True
village,Clothing and personal items,0.4223,False,False
vii,Clothing and personal items,0.4681,False,False
vigil,Locations and environments,1.0,False,False
view_windows,General use,0.0,False,True
view,Crime scene objects,0.3973,False,False
victoria,Clothing and personal items,0.3628,False,False
victim_accident,General use,0.0,False,True
victim,Locations and environments,0.5392,False,False
vicar,Clothing and personal items,0.129,False,False
vessels,Injuries and body parts,0.6878,False,False
verdict_murder,General use,0.0,False,True
verdict,Detection and investigation terms,0.5106,False,False
veins,Injuries and body parts,0.5078,False,False
vegetation,Clothing and personal items,0.448,False,False
vegetable_alkaloid,General use,0.0,False,True
vegetable,Clothing and personal items,0.502,False,False
vapour,Physical evidence,0.4768,False,False
value,Clothing and personal items,0.2957,False,False
valley,Clothing and personal items,0.3628,False,False
use_time,General use,0.0,False,True
use,Physical evidence,0.5186,False,False
uproar,Crime scene objects,0.3949,False,False
university,Clothing and personal items,0.3628,False,False
unhappy,Crime scene objects,0.3703,False,False
understanding,Physical evidence,0.5728,False,False
underground,Injuries and body parts,0.4185,False,False
uncle_letter,General use,0.0,False,True
uncle,Clothing and personal items,0.3012,False,False
umbrella,Clothing and personal items,0.7726,False,False
typewriting,Physical evidence,0.257,False,False
typewriter,Weapons and projectiles,0.1836,False,False
tut_tut,General use,0.0,False,True
tut_sir,General use,0.0,False,True
tut,Clothing and personal items,0.2731,False,False
turn_lock,General use,0.0,False,True
turn,Physical evidence,0.4912,False,False
tunnels,Injuries and body parts,0.4185,False,False
tuesday,Clothing and personal items,0.3759,False,False
truth,Physical evidence,0.4106,False,False
trousers,Injuries and body parts,0.2866,False,False
trouble,Physical evidence,0.4912,False,False
trigger,Weapons and projectiles,0.8046,False,False
trees_side,General use,0.0,False,True
trees,Clothing and personal items,0.448,False,False
treaty,Detection and investigation terms,0.3706,False,False
treatment,Injuries and body parts,0.4754,False,False
treatise,Crime scene objects,0.3691,False,False
treat,Injuries and body parts,0.4754,False,False
treasure,Clothing and personal items,0.254,False,False
trap,Clothing and personal items,0.4157,False,False
train,Locations and environments,0.2452,False,False
trail,Weapons and projectiles,0.2591,False,False
tragedy,Weapons and projectiles,0.36,False,False
trade,Physical evidence,0.2891,False,False
tract,Injuries and body parts,0.6038,False,False
tracks,Physical evidence,0.0951,False,False
track_blood,General use,0.0,False,True
track,Clothing and personal items,0.1249,False,False
traces_blood,General use,0.0,False,True
traces,Physical evidence,0.4796,False,False
trace,Physical evidence,0.5954,True,False
town,Clothing and personal items,0.4223,False,False
touch_colour,General use,0.0,False,True
touch,Physical evidence,0.4363,False,False
torches,Weapons and projectiles,0.7421,False,False
top_speed,General use,0.0,False,True
top,Detection and investigation terms,0.3762,False,False
tooth,Physical evidence,0.4126,False,False
tonight,Crime scene objects,0.2761,False,False
tongs,Weapons and projectiles,0.858,False,False
tone,Physical evidence,0.4202,False,False
tomorrow_report,General use,0.0,False,True
tomorrow_morning_matter,General use,0.0,False,True
tomorrow_morning,General use,0.0,False,True
tomorrow_doubt,General use,0.0,False,True
tomorrow,Crime scene objects,0.2761,False,False
today_tomorrow,General use,0.0,False,True
today_saturday,General use,0.0,False,True
today_mr,General use,0.0,False,True
today_example,General use,0.0,False,True
today,Crime scene objects,0.6409,False,False
tobacco,Physical evidence,0.6313,True,False
tip,Weapons and projectiles,0.858,False,False
tint,Physical evidence,0.4937,False,False
tinge_colour,General use,0.0,False,True
tin,Physical evidence,0.4584,False,False
times_face,General use,0.0,False,True
times,Physical evidence,0.4706,False,False
time_sight,General use,0.0,False,True
time_purpose,General use,0.0,False,True
time_names,General use,0.0,False,True
time_memory,General use,0.0,False,True
time_manner,General use,0.0,False,True
time_letter,General use,0.0,False,True
time_impression,General use,0.0,False,True
time_hat,General use,0.0,False,True
time_hand,General use,0.0,False,True
time_face,General use,0.0,False,True
time_effect,General use,0.0,False,True
time_cab,General use,0.0,False,True
time_bell,General use,0.0,False,True
time_attempt,General use,0.0,False,True
time,Physical evidence,0.4912,False,False
tiger,Weapons and projectiles,0.3262,False,False
ticket,Clothing and personal items,0.3063,False,False
thumb,Clothing and personal items,0.303,False,False
throat,Injuries and body parts,0.395,False,False
thrill,Physical evidence,0.3294,False,False
threshold,Physical evidence,0.4916,False,False
thread,Crime scene objects,0.3954,True,False
thoughts,Crime scene objects,0.3973,False,False
thought_face,General use,0.0,False,True
thought,Physical evidence,0.4912,False,False
think,Clothing and personal items,0.3679,False,False
things,Physical evidence,0.4912,False,False
thing_power,General use,0.0,False,True
thing_memory,General use,0.0,False,True
thing_letter,General use,0.0,False,True
thing_energy,General use,0.0,False,True
thing,Physical evidence,0.4912,False,False
thief,Detection and investigation terms,0.3511,False,False
theory_theory,General use,0.0,False,True
theory_facts,General use,0.0,False,True
theory_case,General use,0.0,False,True
theory,Physical evidence,0.5728,False,False
theories_facts,General use,0.0,False,True
theories,Physical evidence,0.5728,False,False
theatre,Detection and investigation terms,0.3484,False,False
thames,Substances and poisons,0.1274,False,False
textbook,Crime scene objects,0.3691,False,False
testtube_hand,General use,0.0,False,True
testimony,Detection and investigation terms,0.5493,False,False
test,Detection and investigation terms,0.2766,False,False
terror,Locations and environments,0.5036,False,False
terrace,Substances and poisons,0.1842,False,False
terms,Physical evidence,0.5913,False,False
tenpound_note,General use,0.0,False,True
tennis_shoes,General use,0.0,False,True
temper,Physical evidence,0.3372,False,False
telegram_pocket,General use,0.0,False,True
telegram_mr,General use,0.0,False,True
telegram_london,General use,0.0,False,True
telegram_,Crime scene objects,0.4477,False,False
telegram,Crime scene objects,0.6038,False,False
teeth,Physical evidence,0.4126,False,False
task,Detection and investigation terms,0.3819,False,False
tape_measure,General use,0.0,False,True
tape,Crime scene objects,0.6618,False,False
talking,Clothing and personal items,0.4362,False,False
talk,Clothing and personal items,0.3679,False,False
table,Detection and investigation terms,0.2879,False,False
system_way,General use,0.0,False,True
system,Detection and investigation terms,0.3868,False,False
syndicate,Substances and poisons,0.3997,False,False
symptoms_man,General use,0.0,False,True
sword,Weapons and projectiles,0.8046,False,False
switch,Physical evidence,0.4522,False,False
sweat,Injuries and body parts,0.5078,False,False
swear,Clothing and personal items,0.3679,False,False
suspicions_case,General use,0.0,False,True
suspicions,Detection and investigation terms,0.5081,False,False
suspicion,Detection and investigation terms,0.2753,False,False
survivor,Injuries and body parts,0.5898,False,False
surrey,Locations and environments,0.0662,False,False
surprise_face,General use,0.0,False,True
surprise,Physical evidence,0.3294,False,False
surmises,Detection and investigation terms,0.3551,False,False
surmise,Detection and investigation terms,0.3551,False,False
surgeons,Injuries and body parts,0.3716,False,False
surgeon,Injuries and body parts,0.3716,False,False
supposition,Detection and investigation terms,0.3551,False,False
supply,Physical evidence,0.4877,False,False
sun_face,General use,0.0,False,True
sun,Physical evidence,0.5152,False,False
summer,Clothing and personal items,0.4701,False,False
sum,Physical evidence,0.6391,False,False
suite_rooms,General use,0.0,False,True
suit_cloth_cap,General use,0.0,False,True
suit,Detection and investigation terms,0.3958,False,False
suggestion,Physical evidence,0.5728,False,False
successes_failures,General use,0.0,False,True
successes,Physical evidence,0.4236,False,False
success,Physical evidence,0.4476,False,False
substance,Substances and poisons,0.6345,False,False
subject_papers,General use,0.0,False,True
subject,Physical evidence,0.5728,False,False
style,Physical evidence,0.3803,False,False
stump,Clothing and personal items,0.7726,False,False
stuff,Clothing and personal items,0.4523,False,False
study_table,General use,0.0,False,True
study_study,General use,0.0,False,True
study_day,General use,0.0,False,True
study__,Physical evidence,0.2913,False,False
study,Physical evidence,0.4847,False,False
studies,Physical evidence,0.4847,False,False
struggle,Weapons and projectiles,0.4407,False,False
stroke_luck,General use,0.0,False,True
stroke,Injuries and body parts,0.6459,False,False
strips,Clothing and personal items,0.4424,False,False
strip_grass,General use,0.0,False,True
strength,Physical evidence,0.4071,False,False
streets,Locations and environments,0.3934,False,False
street_drive,General use,0.0,False,True
street,Clothing and personal items,0.3379,False,False
stream,Clothing and personal items,0.3711,False,False
straw_hat,General use,0.0,False,True
straw,Clothing and personal items,0.7726,False,False
stranger,Clothing and personal items,0.4311,False,False
story,Locations and environments,0.2607,False,False
storage,Detection and investigation terms,0.3868,False,False
stool,Substances and poisons,0.4861,False,False
stones,Physical evidence,0.4584,False,False
stone,Clothing and personal items,0.4263,False,False
stick_hand,General use,0.0,False,True
stick,Clothing and personal items,0.4169,False,False
steps,Physical evidence,0.4213,False,False
step_hand,General use,0.0,False,True
step,Clothing and personal items,0.4169,False,False
steel,Physical evidence,0.4584,False,False
steam,Substances and poisons,0.5259,False,False
station,Physical evidence,0.1802,False,False
statesmen,Detection and investigation terms,0.376,False,False
statement_mr,General use,0.0,False,True
statement_inspector,General use,0.0,False,True
statement_father,General use,0.0,False,True
statement_,Crime scene objects,0.4415,False,False
statement,Crime scene objects,0.6409,False,False
state,Detection and investigation terms,0.4393,False,False
startingpoint_investigation,General use,0.0,False,True
start,Physical evidence,0.4912,False,False
stand,Clothing and personal items,0.3679,False,False
stamford,Substances and poisons,0.2204,False,False
stake_man,General use,0.0,False,True
stairs,Locations and environments,0.2872,False,False
stair,Weapons and projectiles,0.348,False,False
stains_blood,General use,0.0,False,True
stains,Physical evidence,0.4146,False,False
stage_investigation,General use,0.0,False,True
stage,Injuries and body parts,0.5898,False,False
stables,Clothing and personal items,0.3975,False,False
stab_side,General use,0.0,False,True
stab,Weapons and projectiles,0.858,False,False
st_louis,General use,0.0,False,True
st_jamess,General use,0.0,False,True
st,Clothing and personal items,0.3628,False,False
squares,Clothing and personal items,0.4851,False,False
squareness,Injuries and body parts,0.3622,False,False
square_paper,General use,0.0,False,True
square,Clothing and personal items,0.3554,False,False
springs,Clothing and personal items,0.3628,False,False
spring,Substances and poisons,0.2222,False,False
spot,Physical evidence,0.4912,False,False
spite,Physical evidence,0.4706,False,False
spies_agents,General use,0.0,False,True
spies,Locations and environments,0.5878,False,False
speed,Detection and investigation terms,0.5695,False,False
speculations,Detection and investigation terms,0.3551,False,False
speculation,Detection and investigation terms,0.5081,False,False
specimens,Injuries and body parts,0.5155,False,False
specimen,Injuries and body parts,0.5155,False,False
spear,Weapons and projectiles,0.858,False,False
spasm_pain,General use,0.0,False,True
spasm,Injuries and body parts,0.5078,False,False
spark,Physical evidence,0.4481,False,False
space_front,General use,0.0,False,True
space,Detection and investigation terms,0.3868,False,False
southampton,Clothing and personal items,0.3628,False,False
south,Clothing and personal items,0.4232,False,False
sound,Physical evidence,0.4202,False,False
soul,Detection and investigation terms,0.3444,False,False
sorts,Clothing and personal items,0.4426,False,False
sort,Clothing and personal items,0.4426,False,False
sons,Locations and environments,0.5392,False,False
son,Locations and environments,0.5392,False,False
solution_,Physical evidence,0.3721,False,False
solution,Physical evidence,0.4544,False,False
sole,Clothing and personal items,0.4544,True,False
soil,Substances and poisons,0.4172,False,False
sofa,Clothing and personal items,0.4263,False,False
society,Detection and investigation terms,0.3444,False,False
smudge_blood,General use,0.0,False,True
smoking,Injuries and body parts,0.5898,False,False
smoke_light,General use,0.0,False,True
smoke,Substances and poisons,0.6345,False,False
smiths,Substances and poisons,0.2919,False,False
smith,Clothing and personal items,0.3978,False,False
smile,Clothing and personal items,0.2644,False,False
smell_tobacco,General use,0.0,False,True
smell,Physical evidence,0.365,False,False
slip_paper,General use,0.0,False,True
slip,Clothing and personal items,0.3024,False,False
sleep,Crime scene objects,0.3385,False,False
sky,Clothing and personal items,0.2319,False,False
skin,Physical evidence,0.3957,False,False
skill,Detection and investigation terms,0.3131,False,False
skein,Physical evidence,0.4869,False,False
size,Physical evidence,0.4128,False,False
situation,Locations and environments,0.4513,False,False
sittingroom,General use,0.0,False,True
sisters,Detection and investigation terms,0.2825,False,False
sister,Clothing and personal items,0.2644,False,False
sir_telegram,General use,0.0,False,True
sir_document,General use,0.0,False,True
sir_charles,General use,0.0,False,True
sir,Clothing and personal items,0.3012,False,False
singular,Physical evidence,0.3764,False,False
silver,Clothing and personal items,0.249,False,False
silence,Locations and environments,0.2722,False,False
sikhs,Substances and poisons,0.2619,False,False
signs,Injuries and body parts,0.4713,False,False
significance,Physical evidence,0.5954,False,False
