ID,TERM,DEFINITION,CATEGORY,TOTAL_FREQUENCY,BOOKS
1,aback,,,,
2,abandon,,,,
3,abandoning,,,,
4,abandons,,,,
5,abbey,,,,
6,abbeys,,,,
7,abbots,,,,
8,abduction,,,,
9,abductor,,,,
10,abdullah,,,,
11,abe,,,,
13,aberdeen,,,,
14,abergavenny,,,,
15,abermarle,,,,
16,abernetty,,,,
17,aberration,,,,
18,abetted,,,,
19,abetting,,,,
20,abhor,,,,
21,abhorrent,,,,
22,abhors,,,,
23,abide,,,,
24,abilities,,,,
25,ability,,,,
26,abjure,,,,
27,ablebodied,,,,
28,ablebut,,,,
29,abnormal,,,,
30,abnormally,,,,
31,aboard,,,,
32,abode,,,,
33,abominable,,,,
34,abomination,,,,
35,aborigines,,,,
36,abortive,,,,
37,abound,,,,
38,aboutrumours,,,,
39,aboveboard,,,,
40,abovethe,,,,
41,abrahams,,,,
42,abrasion,,,,
43,abreast,,,,
44,abroad,,,,
45,abrupt,,,,
46,abruptly,,,,
47,abruptness,,,,
48,absconding,,,,
49,absencea,,,,
50,absentee,,,,
51,absentees,,,,
52,absentminded,,,,
53,absolved,,,,
54,absorb,,,,
55,absorbing,,,,
56,abstract,,,,
57,abstracted,,,,
58,abstraction,,,,
59,abstruse,,,,
60,absurdity,,,,
61,absurdly,,,,
62,abundant,,,,
63,aburnin,,,,
64,abuse,,,,
65,abused,,,,
66,abusing,,,,
67,abusive,,,,
68,abutted,,,,
69,abyss,,,,
70,ac,,,,
71,academic,,,,
72,acceding,,,,
73,accent,,,,
74,accentuated,,,,
75,acceptable,,,,
76,acceptance,,,,
77,accepted,,,,
78,accepting,,,,
79,access,,,,
80,accessible,,,,
81,accessories,,,,
82,accessory,,,,
83,accidental,,,,
84,accidentally,,,,
85,accidents,,,,
86,accommodate,,,,
87,accommodating,,,,
88,accompanied,,,,
89,accompaniment,,,,
90,accompaniments,,,,
91,accompany,,,,
92,accompanying,,,,
93,accompli,,,,
94,accomplices,,,,
95,accomplicethere,,,,
96,accomplish,,,,
97,accomplished,,,,
98,accomplishment,,,,
99,accomplishments,,,,
100,accord,,,,
101,accordance,,,,
102,accordingly,,,,
103,accosted,,,,
104,accountant,,,,
105,accounted,,,,
106,accredited,,,,
107,accumulated,,,,
108,accumulating,,,,
109,accumulation,,,,
